,id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,power_units,hp_or_lbs,carb_fuel_injection,subcategory_no,ev_date,ev_dow,ev_time,ev_country,ev_year,ev_month,mid_air,on_ground_collision,latitude,longitude,apt_name,apt_dist,apt_dir,apt_elev,wx_obs_time,wx_obs_dir,wx_obs_elev,wx_obs_dist,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_rvr,vis_rvv,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_dir_ind,wind_vel_kts,wind_vel_ind,gust_ind,gust_kts,altimeter,wx_dens_alt,wx_int_precip,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,wx_cond_basic
2721,20120115X442371,091,NONE,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,2.0,1.0,FIXD,,AIR,N,,,,Y,PERS,,KHMT,1840.0,KSDM,N,N,774.0,PLT,M,No,N,,,1,REC,Rotax,100.0,HP,CARB,6,2012-01-14,Sa,1958.0,USA,2012,1,,,323420N,1165849W,Brown Field,0.0,,,,0.0,,0.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,68.0,0.0,0.0,Y,6.0,T,T,0.0,30.170000076293945,,,NONE,,,,0,0,1,0,1.0,VMC
2722,20120115X452091,091,IFR,PIPER,PA-24-180,4.0,1.0,RETR,2550.0,AIR,N,ANNL,65.0,5049.0,Y,INST,Y,MVY ,1420.0,HYA ,N,N,4030.0,FLTI,M,Yes,Y,,,1,REC,LYCOMING,180.0,HP,CARB,6,2012-01-15,Su,1505.0,USA,2012,1,,,414636N,0070659W,,0.0,,,1512.0,130.0,63.0,8.0,DAYL,,0.0,1800.0,OVC,,,2.0,18.0,9.0,300.0,U,11.0,F,F,19.0,30.200000762939453,,,FATL,,,,2,0,0,0,2.0,IMC
2723,20120116X533491,091,NONE,Aerostar Aircraft Corporation,PA-60-601P,5.0,2.0,RETR,6315.0,AIR,N,ANNL,22.0,2857.0,Y,PERS,N,MPE ,1842.0,MPE ,N,N,6200.0,PLT,M,Yes,Y,,,1,REC,Lycoming,350.0,HP,FINJ,6,2012-01-16,Mo,1842.0,USA,2012,1,,,324738N,0089725W,Philadelphia Municipal Airport,0.0,,458.0,1845.0,0.0,458.0,0.0,DAYL,SCAT,2400.0,9000.0,BKN,,,10.0,66.0,0.0,180.0,U,14.0,F,F,20.0,30.229999542236328,,,FATL,,,,1,0,0,0,1.0,VMC
2724,20120117X641021,091,NONE,MOONEY AIRCRAFT CORP.,M20K,4.0,1.0,RETR,,AIR,N,ANNL,,2588.0,Y,INST,N,BDH ,,BDH ,N,N,50.0,PLT,M,No,N,,,1,REC,CONT MOTOR,225.0,HP,FINJ,2,2012-01-13,Fr,2100.0,USA,2012,1,,,004571N,0095746W,Willmar Municipal Airport-John,0.0,,1126.0,2055.0,0.0,1126.0,0.0,NR,UNK,0.0,0.0,UNK,,,10.0,10.0,1.0,270.0,U,5.0,F,T,0.0,29.96999931335449,,,NONE,,,,0,0,1,0,1.0,VMC
2725,20120120X019411,091,IFR,AERO VODOCHODY,L39C,2.0,1.0,RETR,11618.0,AIR,N,COND,0.0,898.0,Y,PERS,N,GAD ,2317.0,BUY ,N,N,5200.0,PLT,M,No,Y,,,1,TJ,IVCHENKO,3792.0,LBS,,6,2012-01-21,Sa,18.0,USA,2012,1,,,033578N,0008665W,Northeast Alabama Regional,1.0,,569.0,15.0,70.0,569.0,1.0,NDRK,,0.0,300.0,OVC,,,1.0,54.0,0.0,80.0,U,5.0,F,T,0.0,29.940000534057617,,,FATL,,,,1,0,0,0,1.0,IMC
2726,20120123X054071,091,NONE,CESSNA,172P,4.0,1.0,FIXD,2400.0,AIR,N,100H,40.0,13000.0,Y,INST,N,PHJR,2050.0,PHNL,N,N,58.0,DSTU,F,No,N,,,1,REC,Lycoming,160.0,HP,CARB,6,2012-01-26,Th,2106.0,USA,2012,1,,,021197N,1575520W,Honolulu International Airport,1.0,,13.0,2053.0,0.0,13.0,0.0,DAYL,FEW,2100.0,0.0,NONE,,,10.0,79.0,68.0,160.0,U,11.0,F,F,16.0,29.96999931335449,,,NONE,,,,0,0,1,0,1.0,VMC
2727,20120123X647551,135,NONE,BELL,206B,5.0,1.0,FIXD,,HELI,N,ANNL,,7415.0,Y,,N,,,,N,N,30000.0,PLT,M,Yes,N,,,1,TS,Rolls Royce,450.0,HP,,7,2012-01-22,Su,2140.0,USA,2012,1,,,325214N,0965959W,,0.0,,,2153.0,0.0,607.0,0.0,DAYL,FEW,5000.0,0.0,NONE,,,10.0,77.0,28.0,260.0,U,21.0,F,F,33.0,29.6200008392334,,,NONE,,,,0,0,4,0,4.0,VMC
2728,20120125X521131,091,IFR,BEECH,58,6.0,2.0,RETR,5500.0,AIR,N,ANNL,,8705.0,Y,EXEC,N,SPA ,2135.0,NONE,N,N,20000.0,PLT,M,Yes,N,,,1,REC,Continental Motors,300.0,HP,FINJ,6,2012-01-24,Tu,2218.0,USA,2012,1,,,323932N,0802533W,Private Airstrip,0.0,,10.0,2155.0,330.0,,15.0,DAYL,CLER,0.0,0.0,NONE,,,10.0,68.0,46.0,0.0,U,,F,F,0.0,30.149999618530277,,,NONE,,,,0,0,3,0,3.0,VMC
2729,20120126X921241,091,NONE,CESSNA,210E,4.0,1.0,RETR,3100.0,AIR,N,ANNL,18.0,4780.0,Y,PERS,N,7FL6,2010.0,7FL6,N,N,2113.0,PLT,,No,N,,3,1,REC,CONT MOTOR,300.0,HP,FINJ,5,2012-01-25,We,2015.0,USA,2012,1,,,029429N,0081229W,Spruce Creek Airport,0.0,,24.0,2047.0,90.0,24.0,5.0,DAYL,SCAT,2500.0,0.0,NONE,,,10.0,75.0,64.0,110.0,U,10.0,F,T,0.0,30.149999618530277,,,MINR,,,,0,1,0,0,1.0,VMC
2730,20120126X019091,091,IFR,CIRRUS DESIGN CORP,SR20,4.0,1.0,FIXD,,AIR,N,100H,42.0,3830.0,Y,INST,Y,SFB ,130.0,CRG ,N,N,829.0,FLTI,,Yes,N,,U,1,REC,CONT MOTOR,210.0,HP,FINJ,5,2011-12-04,Su,251.0,USA,2011,12,,,030140N,0814030W,,0.0,,,,12.0,41.0,12.0,NITE,CLER,0.0,0.0,NONE,,,9.0,63.0,59.0,30.0,U,6.0,F,T,0.0,30.3700008392334,,,NONE,,,,0,0,2,0,2.0,VMC
