id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20140915X114561,091,NONE,PIPER,PA 28-161,4.0,1.0,FIXD,2325.0,AIR,N,UNK,,,,,,Y,PERS,N,DXR ,,BID ,N,N,2122.0,PLT,,No,N,,U,1,REC,LYCOMING,O-320 SERIES,150.0,HP,CARB,,6
20140916X822351,091,VFR,PIPER,PA 28-180,4.0,1.0,FIXD,,AIR,N,ANNL,,4372.0,Y,C91A,,Y,PERS,,TLH ,1233.0,SPG ,N,N,260.0,PLT,,No,N,,3,1,REC,LYCOMING,O-360-A4A,180.0,HP,CARB,FIXP,7
20140916X150321,091,NONE,CESSNA,182K,,1.0,FIXD,2348.0,AIR,N,100H,,,Y,,,Y,INST,,FFZ ,1800.0,FFZ ,N,N,98.0,DSTU,,No,N,,L,1,REC,CONT MOTOR,O-470 SERIES,0.0,HP,,,6
20140916X859371,091,NONE,PIPER,PA 28,4.0,1.0,FIXD,2150.0,AIR,N,ANNL,6.0,7082.0,Y,,,Y,PERS,N,RHV ,1745.0,PVT ,N,N,1052.0,PLT,M,No,N,,3,1,REC,LYCOMING,O-320 SERIES,180.0,HP,CARB,CONP,4
20140918X745341,091,NONE,CIRRUS DESIGN CORP,SR22,4.0,1.0,FIXD,3400.0,AIR,N,ANNL,1562.0,1590.0,Y,,,Y,PERS,N,DNS ,1545.0,XVG ,N,N,291.0,PLT,,No,N,,5,1,REC,CONTINENTAL MOTOR,IO-550-N,310.0,HP,FINJ,CONP,6
20140918X828201,091,NONE,CESSNA,152,2.0,1.0,FIXD,1676.0,AIR,N,100H,53.0,15952.0,,,,Y,INST,N,STS ,,STS ,N,N,30.0,DSTU,,No,N,,3,1,REC,LYCOMING,O-235-L2C,110.0,HP,CARB,,6
20140921X407401,091,NONE,PIPER,PA 28R-180,4.0,1.0,RETR,2500.0,AIR,N,100H,55.0,2191.330078125,Y,C91,,Y,PERS,Y,KSAA,515.0,KBJC,N,N,108.45000147819519,PLT,M,No,Y,,L,1,REC,LYCOMING,IO360 SER,180.0,HP,FINJ,CONP,6
20140921X200451,091,NONE,BRUPBACHER CHRIS,CB2000,2.0,1.0,FIXD,,GYRO,Y,COND,,,N,,,Y,PERS,N,1L0 ,2220.0,1L0 ,N,N,260.0,PLT,,No,Y,,4,1,REC,Subaru,2200 cc,130.0,HP,CARB,FIXP,2
20140922X950341,091,VFR,CUB CRAFTERS INC,CC11 100,2.0,1.0,FIXD,1320.0,AIR,N,COND,,75.0,Y,,,Y,INST,Y,HEF ,1825.0,CJR ,N,N,2010.0,FLTI,,Yes,N,,4,1,REC,Continental,O-200-A (88) ,100.0,HP,CARB,FIXP,6
20140922X307331,091,NONE,CESSNA,172M,4.0,1.0,FIXD,2299.0,AIR,N,100H,,5848.2001953125,Y,C91,,Y,INST,Y,X04 ,1330.0,LEE ,N,N,216.5,FLTI,,Yes,N,,3,1,REC,LYCOMING,O-320 SERIES,150.0,HP,CARB,FIXP,6
20140922X520151,135,CVFR,CESSNA,TU206,4.0,1.0,FIXD,3600.0,AIR,N,100H,96.0,6987.60009765625,Y,C91A,70 North,Y,,N,AK78,,SCC ,N,N,9000.0,PLT,,Yes,Y,,4,1,REC,Continental Motors Inc.,IO-520-F48B,285.0,HP,FINJ,CONP,5
20140923X810081,091,NONE,CESSNA,182A,4.0,1.0,FIXD,2950.0,AIR,N,ANNL,30.0,3900.0,Y,,,Y,PERS,N,GVQ ,1300.0,8NK4,N,N,329.0,PLT,,Yes,N,,L,1,REC,CONT MOTOR,O-470 SERIES,230.0,HP,CARB,CONP,6
